客户编号,线索日期,项目,城市,区域,置业顾问,获客渠道,客户等级,到访日期,认购日期,签约日期,户型,成交金额,回款金额
C0420,2025-01-26,钱塘云筑,杭州,钱塘,顾问07,房产平台,A,2025-02-02,2025-02-07,2025-02-24,三房,2356000,1017000
C0214,2025-01-30,湘湖映月,杭州,萧山,顾问12,短视频平台,C,,,,四房,,
C0271,2025-01-30,云栖澜庭,杭州,余杭,顾问02,搜索广告,A,2025-01-31,2025-02-11,2025-02-22,改善四房,2990000,2228000
C0424,2025-01-30,滨江悦府,杭州,滨江,顾问05,房产平台,A,2025-01-31,2025-02-06,2025-02-14,四房,4340000,2168000
C0320,2025-01-31,湘湖映月,杭州,萧山,顾问11,老带新,A,2025-01-31,2025-02-05,2025-02-18,三房,3003000,946000
C0318,2025-02-02,钱塘云筑,杭州,钱塘,顾问09,老带新,B,,,,两房,,
C0080,2025-02-09,滨江悦府,杭州,滨江,顾问04,短视频平台,A,,,,三房,,
C0275,2025-02-10,云栖澜庭,杭州,余杭,顾问02,短视频平台,A,,,,改善四房,,
C0452,2025-02-12,云栖澜庭,杭州,余杭,顾问03,短视频平台,B,,,,四房,,
C0504,2025-02-12,湘湖映月,杭州,萧山,顾问12,短视频平台,B,,,,两房,,
C0387,2025-02-13,湘湖映月,杭州,萧山,顾问10,渠道中介,B,,,,四房,,
C0229,2025-02-14,滨江悦府,杭州,滨江,顾问04,短视频平台,A,,,,两房,,
C0145,2025-02-15,云栖澜庭,杭州,余杭,顾问01,房产平台,A,2025-02-17,2025-02-25,2025-03-07,两房,2754000,2754000
C0198,2025-02-15,湘湖映月,杭州,萧山,顾问10,渠道中介,A,2025-02-22,,,四房,,
C0472,2025-02-15,云栖澜庭,杭州,余杭,顾问02,房产平台,B,2025-02-17,2025-03-04,,改善四房,,
C0192,2025-02-16,钱塘云筑,杭州,钱塘,顾问08,搜索广告,C,,,,两房,,
C0079,2025-02-17,钱塘云筑,杭州,钱塘,顾问07,房产平台,C,2025-02-19,,,四房,,
C0336,2025-02-17,云栖澜庭,杭州,余杭,顾问03,短视频平台,A,,,,三房,,
C0268,2025-02-19,云栖澜庭,杭州,余杭,顾问03,搜索广告,C,2025-02-19,2025-02-28,,四房,,
C0082,2025-02-20,滨江悦府,杭州,滨江,顾问06,搜索广告,C,,,,四房,,
C0443,2025-02-21,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,2025-02-21,2025-03-03,,两房,,
C0468,2025-02-23,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,2025-02-26,,,两房,,
C0301,2025-02-24,钱塘云筑,杭州,钱塘,顾问07,房产平台,C,,,,三房,,
C0206,2025-02-26,湘湖映月,杭州,萧山,顾问10,自然到访,B,,,,两房,,
C0070,2025-02-27,滨江悦府,杭州,滨江,顾问06,渠道中介,C,2025-03-04,,,三房,,
C0284,2025-02-28,钱塘云筑,杭州,钱塘,顾问08,渠道中介,A,2025-03-03,2025-03-18,,三房,,
C0141,2025-03-01,钱塘云筑,杭州,钱塘,顾问09,房产平台,B,2025-03-06,2025-03-10,,三房,,
C0465,2025-03-01,云栖澜庭,杭州,余杭,顾问01,短视频平台,A,,,,四房,,
C0091,2025-03-02,滨江悦府,杭州,滨江,顾问05,房产平台,A,2025-03-05,2025-03-16,2025-04-03,两房,4238000,4238000
C0489,2025-03-02,钱塘云筑,杭州,钱塘,顾问09,搜索广告,B,,,,两房,,
C0001,2025-03-06,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2025-03-13,,,三房,,
C0501,2025-03-06,滨江悦府,杭州,滨江,顾问04,短视频平台,C,,,,两房,,
C0200,2025-03-07,钱塘云筑,杭州,钱塘,顾问09,渠道中介,B,,,,三房,,
C0103,2025-03-08,湘湖映月,杭州,萧山,顾问12,老带新,C,2025-03-15,2025-03-27,2025-04-08,四房,2285000,705000
C0023,2025-03-09,云栖澜庭,杭州,余杭,顾问01,自然到访,B,,,,两房,,
C0357,2025-03-10,云栖澜庭,杭州,余杭,顾问01,搜索广告,B,,,,四房,,
C0405,2025-03-11,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,2025-03-11,,,三房,,
C0014,2025-03-13,滨江悦府,杭州,滨江,顾问04,搜索广告,C,,,,四房,,
C0042,2025-03-13,滨江悦府,杭州,滨江,顾问04,短视频平台,B,,,,四房,,
C0044,2025-03-13,云栖澜庭,杭州,余杭,顾问03,渠道中介,C,,,,四房,,
C0084,2025-03-13,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,,,,四房,,
C0197,2025-03-13,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,,,,三房,,
C0461,2025-03-17,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,两房,,
C0050,2025-03-18,钱塘云筑,杭州,钱塘,顾问07,房产平台,C,2025-03-25,,,三房,,
C0517,2025-03-20,滨江悦府,杭州,滨江,顾问04,搜索广告,A,2025-03-26,2025-04-07,2025-04-12,两房,3902000,3035000
C0498,2025-03-21,湘湖映月,杭州,萧山,顾问10,搜索广告,B,2025-03-27,2025-03-31,,改善四房,,
C0274,2025-03-24,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,四房,,
C0075,2025-03-25,湘湖映月,杭州,萧山,顾问10,房产平台,C,2025-03-28,2025-04-03,,三房,,
C0147,2025-03-27,湘湖映月,杭州,萧山,顾问11,房产平台,B,,,,改善四房,,
C0440,2025-03-27,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,,,,两房,,
C0208,2025-03-28,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,2025-03-30,2025-04-12,,改善四房,,
C0272,2025-03-30,云栖澜庭,杭州,余杭,顾问03,自然到访,C,2025-04-02,,,两房,,
C0337,2025-03-30,滨江悦府,杭州,滨江,顾问04,房产平台,A,2025-04-04,2025-04-12,2025-05-02,三房,3949000,3949000
C0168,2025-04-03,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,两房,,
C0317,2025-04-04,云栖澜庭,杭州,余杭,顾问02,老带新,A,2025-04-07,2025-04-12,2025-04-28,两房,2698000,1164000
C0034,2025-04-06,钱塘云筑,杭州,钱塘,顾问08,渠道中介,C,,,,四房,,
C0191,2025-04-06,滨江悦府,杭州,滨江,顾问06,短视频平台,C,,,,四房,,
C0429,2025-04-06,钱塘云筑,杭州,钱塘,顾问08,老带新,A,2025-04-09,2025-04-13,,三房,,
C0150,2025-04-07,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,三房,,
C0296,2025-04-07,钱塘云筑,杭州,钱塘,顾问07,房产平台,A,2025-04-10,2025-04-18,,三房,,
C0025,2025-04-11,钱塘云筑,杭州,钱塘,顾问07,搜索广告,A,,,,四房,,
C0071,2025-04-11,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,四房,,
C0158,2025-04-11,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,,,,两房,,
C0406,2025-04-12,钱塘云筑,杭州,钱塘,顾问07,自然到访,B,2025-04-15,2025-04-21,2025-05-04,三房,1712000,1712000
C0007,2025-04-14,滨江悦府,杭州,滨江,顾问05,自然到访,C,,,,三房,,
C0061,2025-04-14,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,,,,两房,,
C0184,2025-04-15,钱塘云筑,杭州,钱塘,顾问09,渠道中介,B,,,,三房,,
C0293,2025-04-16,云栖澜庭,杭州,余杭,顾问02,房产平台,C,2025-04-20,,,三房,,
C0398,2025-04-16,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,三房,,
C0054,2025-04-17,滨江悦府,杭州,滨江,顾问05,自然到访,B,2025-04-24,2025-05-09,2025-05-19,改善四房,4290000,710000
C0428,2025-04-17,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,2025-04-21,2025-05-04,,四房,,
C0104,2025-04-18,滨江悦府,杭州,滨江,顾问04,短视频平台,C,2025-04-21,,,四房,,
C0482,2025-04-21,湘湖映月,杭州,萧山,顾问10,搜索广告,B,2025-04-25,2025-04-29,2025-05-08,四房,3022000,1769000
C0040,2025-04-22,钱塘云筑,杭州,钱塘,顾问09,搜索广告,A,2025-04-23,2025-05-07,2025-05-13,两房,2469000,1569000
C0514,2025-04-23,云栖澜庭,杭州,余杭,顾问03,渠道中介,B,2025-04-29,2025-05-04,2025-05-10,三房,2779000,864000
C0132,2025-04-24,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,改善四房,,
C0462,2025-04-26,滨江悦府,杭州,滨江,顾问04,短视频平台,A,2025-04-30,,,改善四房,,
C0256,2025-04-27,滨江悦府,杭州,滨江,顾问06,短视频平台,C,2025-04-28,,,三房,,
C0471,2025-04-27,滨江悦府,杭州,滨江,顾问05,自然到访,A,2025-04-30,2025-05-13,2025-05-23,改善四房,4116000,2326000
C0008,2025-04-28,云栖澜庭,杭州,余杭,顾问01,搜索广告,C,2025-05-02,2025-05-10,2025-05-19,三房,2066000,562000
C0154,2025-04-28,钱塘云筑,杭州,钱塘,顾问07,渠道中介,B,2025-05-02,,,四房,,
C0390,2025-04-28,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,2025-04-30,2025-05-14,,三房,,
C0497,2025-04-30,滨江悦府,杭州,滨江,顾问05,房产平台,B,2025-05-05,,,改善四房,,
C0057,2025-05-01,湘湖映月,杭州,萧山,顾问11,房产平台,C,2025-05-03,,,三房,,
C0281,2025-05-01,湘湖映月,杭州,萧山,顾问12,自然到访,C,,,,三房,,
C0450,2025-05-01,云栖澜庭,杭州,余杭,顾问02,老带新,C,2025-05-04,,,四房,,
C0172,2025-05-02,云栖澜庭,杭州,余杭,顾问03,老带新,A,2025-05-05,2025-05-11,2025-05-30,三房,2773000,1154000
C0485,2025-05-03,滨江悦府,杭州,滨江,顾问06,渠道中介,B,,,,改善四房,,
C0108,2025-05-04,滨江悦府,杭州,滨江,顾问06,房产平台,C,2025-05-04,,,两房,,
C0319,2025-05-05,滨江悦府,杭州,滨江,顾问04,搜索广告,B,2025-05-09,2025-05-13,2025-05-28,四房,4213000,
C0266,2025-05-06,云栖澜庭,杭州,余杭,顾问01,搜索广告,B,2025-05-09,2025-05-23,,四房,,
C0391,2025-05-06,钱塘云筑,杭州,钱塘,顾问09,搜索广告,B,2025-05-06,,,三房,,
C0128,2025-05-08,滨江悦府,杭州,滨江,顾问05,老带新,C,2025-05-13,2025-05-23,2025-06-06,改善四房,3409000,1960000
C0341,2025-05-09,钱塘云筑,杭州,钱塘,顾问07,自然到访,B,2025-05-09,2025-05-16,,改善四房,,
C0051,2025-05-11,滨江悦府,杭州,滨江,顾问06,短视频平台,A,,,,三房,,
C0228,2025-05-11,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,,,,改善四房,,
C0304,2025-05-11,云栖澜庭,杭州,余杭,顾问03,短视频平台,A,2025-05-12,,,三房,,
C0138,2025-05-12,云栖澜庭,杭州,余杭,顾问02,渠道中介,C,,,,四房,,
C0059,2025-05-14,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,2025-05-19,,,三房,,
C0046,2025-05-15,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,,,,三房,,
C0367,2025-05-15,钱塘云筑,杭州,钱塘,顾问07,短视频平台,C,2025-05-17,,,两房,,
C0399,2025-05-15,湘湖映月,杭州,萧山,顾问10,搜索广告,C,,,,三房,,
C0236,2025-05-18,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,四房,,
C0368,2025-05-20,钱塘云筑,杭州,钱塘,顾问07,短视频平台,C,,,,四房,,
C0433,2025-05-20,钱塘云筑,杭州,钱塘,顾问09,自然到访,B,2025-05-20,2025-05-25,,改善四房,,
C0359,2025-05-21,滨江悦府,杭州,滨江,顾问04,房产平台,B,,,,改善四房,,
C0146,2025-05-23,滨江悦府,杭州,滨江,顾问05,渠道中介,A,2025-05-30,2025-06-02,2025-06-07,四房,4202000,912000
C0294,2025-05-23,云栖澜庭,杭州,余杭,顾问01,搜索广告,C,,,,改善四房,,
C0335,2025-05-23,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,2025-05-25,2025-05-29,2025-06-12,两房,1929000,1253000
C0378,2025-05-25,云栖澜庭,杭州,余杭,顾问01,房产平台,C,2025-05-25,,,三房,,
C0058,2025-05-28,云栖澜庭,杭州,余杭,顾问03,渠道中介,C,2025-06-03,2025-06-08,2025-06-19,三房,3130000,3130000
C0159,2025-05-28,滨江悦府,杭州,滨江,顾问05,老带新,B,2025-06-03,2025-06-15,2025-06-21,三房,4730000,2180000
C0430,2025-05-29,滨江悦府,杭州,滨江,顾问06,短视频平台,C,2025-06-05,,,改善四房,,
C0237,2025-05-31,滨江悦府,杭州,滨江,顾问06,短视频平台,B,,,,四房,,
C0240,2025-05-31,云栖澜庭,杭州,余杭,顾问01,搜索广告,B,2025-06-02,2025-06-16,,两房,,
C0077,2025-06-01,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,,,,四房,,
C0002,2025-06-02,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2025-06-09,2025-06-13,,三房,,
C0370,2025-06-05,滨江悦府,杭州,滨江,顾问06,老带新,B,2025-06-06,,,四房,,
C0055,2025-06-06,钱塘云筑,杭州,钱塘,顾问07,搜索广告,B,,,,三房,,
C0254,2025-06-11,云栖澜庭,杭州,余杭,顾问01,搜索广告,A,2025-06-11,,,四房,,
C0176,2025-06-12,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2025-06-17,2025-07-02,,三房,,
C0299,2025-06-12,滨江悦府,杭州,滨江,顾问06,渠道中介,C,,,,四房,,
C0161,2025-06-13,湘湖映月,杭州,萧山,顾问11,自然到访,A,2025-06-17,2025-06-29,2025-07-11,四房,3253000,3253000
C0444,2025-06-13,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,2025-06-13,2025-06-24,,三房,,
C0174,2025-06-15,湘湖映月,杭州,萧山,顾问11,搜索广告,C,,,,两房,,
C0439,2025-06-15,滨江悦府,杭州,滨江,顾问06,房产平台,B,,,,四房,,
C0364,2025-06-16,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,,,,三房,,
C0473,2025-06-16,滨江悦府,杭州,滨江,顾问04,短视频平台,C,2025-06-17,2025-06-20,,改善四房,,
C0297,2025-06-17,云栖澜庭,杭州,余杭,顾问03,短视频平台,B,,,,三房,,
C0346,2025-06-19,滨江悦府,杭州,滨江,顾问04,搜索广告,C,2025-06-26,2025-07-08,2025-07-19,两房,3049000,
C0227,2025-06-20,滨江悦府,杭州,滨江,顾问04,短视频平台,C,,,,改善四房,,
C0334,2025-06-22,湘湖映月,杭州,萧山,顾问10,搜索广告,C,2025-06-29,,,四房,,
C0379,2025-06-22,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,2025-06-28,2025-07-12,,三房,,
C0022,2025-06-23,云栖澜庭,杭州,余杭,顾问01,房产平台,B,2025-06-29,,,改善四房,,
C0222,2025-06-23,钱塘云筑,杭州,钱塘,顾问07,搜索广告,C,2025-06-24,,,三房,,
C0072,2025-06-24,云栖澜庭,杭州,余杭,顾问03,自然到访,A,2025-06-26,2025-07-03,,三房,,
C0083,2025-06-25,湘湖映月,杭州,萧山,顾问11,短视频平台,C,,,,三房,,
C0483,2025-06-25,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,两房,,
C0032,2025-06-27,钱塘云筑,杭州,钱塘,顾问07,老带新,B,2025-06-27,,,三房,,
C0279,2025-06-28,湘湖映月,杭州,萧山,顾问12,房产平台,B,,,,四房,,
C0037,2025-06-29,滨江悦府,杭州,滨江,顾问04,渠道中介,C,2025-07-02,2025-07-09,,三房,,
C0188,2025-06-29,云栖澜庭,杭州,余杭,顾问01,短视频平台,B,,,,两房,,
C0259,2025-06-30,云栖澜庭,杭州,余杭,顾问01,短视频平台,B,,,,三房,,
C0287,2025-06-30,钱塘云筑,杭州,钱塘,顾问07,搜索广告,C,2025-07-02,,,三房,,
C0307,2025-07-01,滨江悦府,杭州,滨江,顾问06,房产平台,C,2025-07-04,,,三房,,
C0329,2025-07-01,湘湖映月,杭州,萧山,顾问10,自然到访,C,,,,改善四房,,
C0348,2025-07-02,滨江悦府,杭州,滨江,顾问06,自然到访,C,2025-07-03,,,四房,,
C0170,2025-07-03,云栖澜庭,杭州,余杭,顾问03,搜索广告,B,,,,三房,,
C0437,2025-07-03,云栖澜庭,杭州,余杭,顾问01,房产平台,B,2025-07-04,2025-07-16,2025-07-26,两房,2164000,2164000
C0009,2025-07-04,云栖澜庭,杭州,余杭,顾问02,老带新,B,2025-07-04,,,四房,,
C0303,2025-07-08,云栖澜庭,杭州,余杭,顾问02,搜索广告,B,2025-07-12,,,三房,,
C0500,2025-07-08,滨江悦府,杭州,滨江,顾问06,搜索广告,B,,,,改善四房,,
C0017,2025-07-09,滨江悦府,杭州,滨江,顾问06,自然到访,C,2025-07-12,,,改善四房,,
C0115,2025-07-10,滨江悦府,杭州,滨江,顾问04,短视频平台,B,2025-07-14,,,两房,,
C0167,2025-07-10,云栖澜庭,杭州,余杭,顾问03,房产平台,B,2025-07-15,,,三房,,
C0327,2025-07-10,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,2025-07-10,2025-07-15,2025-07-29,两房,2496000,1405000
C0360,2025-07-12,滨江悦府,杭州,滨江,顾问05,搜索广告,B,2025-07-12,2025-07-16,2025-08-01,三房,4887000,3457000
C0347,2025-07-13,滨江悦府,杭州,滨江,顾问06,房产平台,B,,,,改善四房,,
C0230,2025-07-16,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,2025-07-17,,,两房,,
C0244,2025-07-18,滨江悦府,杭州,滨江,顾问06,短视频平台,B,,,,两房,,
C0203,2025-07-19,滨江悦府,杭州,滨江,顾问04,搜索广告,B,,,,三房,,
C0100,2025-07-21,湘湖映月,杭州,萧山,顾问10,搜索广告,A,,,,四房,,
C0183,2025-07-21,滨江悦府,杭州,滨江,顾问06,房产平台,C,2025-07-23,2025-08-02,,改善四房,,
C0276,2025-07-21,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,,,,三房,,
C0519,2025-07-22,钱塘云筑,杭州,钱塘,顾问07,自然到访,C,,,,改善四房,,
C0316,2025-07-23,钱塘云筑,杭州,钱塘,顾问07,房产平台,A,2025-07-30,2025-08-11,,三房,,
C0217,2025-07-26,云栖澜庭,杭州,余杭,顾问01,房产平台,B,2025-07-31,,,三房,,
C0175,2025-07-27,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,2025-07-27,,,两房,,
C0257,2025-07-27,钱塘云筑,杭州,钱塘,顾问07,老带新,B,2025-07-31,2025-08-04,2025-08-19,两房,2414000,1124000
C0300,2025-07-28,湘湖映月,杭州,萧山,顾问10,短视频平台,C,,,,改善四房,,
C0418,2025-07-29,钱塘云筑,杭州,钱塘,顾问09,自然到访,B,2025-08-05,2025-08-13,2025-08-31,两房,1703000,667000
C0314,2025-08-01,湘湖映月,杭州,萧山,顾问12,房产平台,A,2025-08-03,2025-08-15,2025-09-01,三房,3541000,3541000
C0033,2025-08-02,滨江悦府,杭州,滨江,顾问04,短视频平台,B,,,,四房,,
C0277,2025-08-02,湘湖映月,杭州,萧山,顾问11,短视频平台,A,,,,四房,,
C0028,2025-08-06,滨江悦府,杭州,滨江,顾问04,老带新,C,2025-08-08,2025-08-18,,三房,,
C0315,2025-08-06,钱塘云筑,杭州,钱塘,顾问07,渠道中介,A,,,,两房,,
C0354,2025-08-06,湘湖映月,杭州,萧山,顾问11,自然到访,B,,,,两房,,
C0380,2025-08-10,滨江悦府,杭州,滨江,顾问05,短视频平台,A,,,,三房,,
C0466,2025-08-10,滨江悦府,杭州,滨江,顾问05,房产平台,C,2025-08-17,,,三房,,
C0060,2025-08-13,湘湖映月,杭州,萧山,顾问11,老带新,B,2025-08-19,,,四房,,
C0515,2025-08-13,滨江悦府,杭州,滨江,顾问05,短视频平台,B,,,,改善四房,,
C0142,2025-08-14,湘湖映月,杭州,萧山,顾问11,老带新,C,2025-08-15,,,四房,,
C0073,2025-08-19,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,,,,三房,,
C0352,2025-08-19,滨江悦府,杭州,滨江,顾问06,房产平台,B,2025-08-19,2025-08-22,2025-09-01,改善四房,3151000,
C0151,2025-08-20,钱塘云筑,杭州,钱塘,顾问08,渠道中介,A,2025-08-21,,,三房,,
C0187,2025-08-21,湘湖映月,杭州,萧山,顾问12,短视频平台,C,,,,四房,,
C0157,2025-08-22,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,2025-08-23,,,三房,,
C0516,2025-08-22,滨江悦府,杭州,滨江,顾问05,老带新,B,2025-08-26,2025-08-31,2025-09-18,四房,3994000,886000
C0038,2025-08-23,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,2025-08-29,2025-09-11,,三房,,
C0105,2025-08-23,钱塘云筑,杭州,钱塘,顾问09,渠道中介,C,2025-08-25,,,三房,,
C0361,2025-08-24,钱塘云筑,杭州,钱塘,顾问08,老带新,B,,,,三房,,
C0408,2025-08-24,钱塘云筑,杭州,钱塘,顾问09,短视频平台,A,2025-08-27,,,两房,,
C0216,2025-08-25,云栖澜庭,杭州,余杭,顾问02,老带新,C,,,,改善四房,,
C0223,2025-08-25,云栖澜庭,杭州,余杭,顾问03,房产平台,C,,,,改善四房,,
C0166,2025-08-26,云栖澜庭,杭州,余杭,顾问01,房产平台,B,2025-08-31,2025-09-04,2025-09-12,改善四房,2908000,2908000
C0342,2025-08-26,钱塘云筑,杭州,钱塘,顾问07,短视频平台,C,2025-08-30,2025-09-13,2025-09-21,四房,2686000,944000
C0441,2025-08-27,滨江悦府,杭州,滨江,顾问04,房产平台,A,2025-08-29,,,三房,,
C0149,2025-08-28,滨江悦府,杭州,滨江,顾问06,短视频平台,B,,,,改善四房,,
C0258,2025-08-29,滨江悦府,杭州,滨江,顾问06,房产平台,C,2025-09-01,2025-09-13,,两房,,
C0102,2025-08-31,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,,,,三房,,
C0165,2025-09-01,滨江悦府,杭州,滨江,顾问06,短视频平台,B,,,,三房,,
C0321,2025-09-02,滨江悦府,杭州,滨江,顾问06,搜索广告,C,2025-09-05,2025-09-20,,四房,,
C0004,2025-09-04,云栖澜庭,杭州,余杭,顾问02,搜索广告,C,2025-09-05,,,两房,,
C0382,2025-09-04,钱塘云筑,杭州,钱塘,顾问08,搜索广告,A,2025-09-04,2025-09-12,2025-09-29,改善四房,1649000,254000
C0119,2025-09-05,滨江悦府,杭州,滨江,顾问06,搜索广告,B,,,,四房,,
C0148,2025-09-06,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,2025-09-06,,,两房,,
C0282,2025-09-08,钱塘云筑,杭州,钱塘,顾问09,自然到访,A,,,,两房,,
C0402,2025-09-08,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,四房,,
C0066,2025-09-09,云栖澜庭,杭州,余杭,顾问01,搜索广告,C,,,,四房,,
C0131,2025-09-09,钱塘云筑,杭州,钱塘,顾问07,自然到访,A,2025-09-13,2025-09-21,2025-10-10,三房,1950000,1836000
C0234,2025-09-12,云栖澜庭,杭州,余杭,顾问01,自然到访,C,2025-09-19,2025-10-04,,改善四房,,
C0425,2025-09-12,云栖澜庭,杭州,余杭,顾问02,渠道中介,B,,,,两房,,
C0224,2025-09-13,滨江悦府,杭州,滨江,顾问06,老带新,B,,,,改善四房,,
C0288,2025-09-13,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,2025-09-18,2025-09-29,2025-10-05,三房,2424000,1469000
C0309,2025-09-13,滨江悦府,杭州,滨江,顾问06,老带新,A,2025-09-14,2025-09-20,2025-09-30,四房,4283000,
C0401,2025-09-15,云栖澜庭,杭州,余杭,顾问03,搜索广告,B,,,,三房,,
C0086,2025-09-16,滨江悦府,杭州,滨江,顾问04,自然到访,A,2025-09-21,2025-09-25,,两房,,
C0344,2025-09-17,湘湖映月,杭州,萧山,顾问12,渠道中介,A,,,,三房,,
C0182,2025-09-18,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,2025-09-20,2025-09-27,,两房,,
C0090,2025-09-19,滨江悦府,杭州,滨江,顾问06,短视频平台,B,,,,四房,,
C0310,2025-09-20,云栖澜庭,杭州,余杭,顾问02,短视频平台,A,2025-09-21,,,三房,,
C0386,2025-09-20,钱塘云筑,杭州,钱塘,顾问07,短视频平台,C,,,,四房,,
C0388,2025-09-20,钱塘云筑,杭州,钱塘,顾问09,短视频平台,C,,,,四房,,
C0432,2025-09-20,云栖澜庭,杭州,余杭,顾问01,房产平台,A,,,,三房,,
C0451,2025-09-20,云栖澜庭,杭州,余杭,顾问02,搜索广告,B,,,,三房,,
C0078,2025-09-22,钱塘云筑,杭州,钱塘,顾问09,搜索广告,C,,,,三房,,
C0356,2025-09-22,云栖澜庭,杭州,余杭,顾问03,房产平台,B,2025-09-28,,,四房,,
C0362,2025-09-22,云栖澜庭,杭州,余杭,顾问02,老带新,B,2025-09-29,2025-10-02,,四房,,
C0207,2025-09-23,湘湖映月,杭州,萧山,顾问10,自然到访,A,2025-09-27,,,四房,,
C0490,2025-09-24,云栖澜庭,杭州,余杭,顾问02,短视频平台,A,,,,改善四房,,
C0232,2025-09-25,湘湖映月,杭州,萧山,顾问10,搜索广告,A,2025-10-02,2025-10-09,,两房,,
C0400,2025-09-25,湘湖映月,杭州,萧山,顾问12,搜索广告,B,2025-09-29,,,三房,,
C0434,2025-09-25,云栖澜庭,杭州,余杭,顾问03,房产平台,A,2025-09-27,,,三房,,
C0027,2025-09-27,云栖澜庭,杭州,余杭,顾问03,渠道中介,A,2025-10-03,2025-10-14,,两房,,
C0338,2025-09-27,湘湖映月,杭州,萧山,顾问12,自然到访,C,2025-09-30,2025-10-03,,三房,,
