课程类别,课程难度,购买渠道,主要学习设备,报名日期,实付金额,课程完成率,是否退款,课程评分
前端开发,进阶,搜索平台,Android,2025-03-09,218.66,0.616,否,4.1
前端开发,入门,学习社群,iOS,2025-03-12,219.29,0.6147,否,4.2
前端开发,高级,短视频平台,iOS,2025-03-04,240.29,0.572,否,4.2
前端开发,入门,官网,Windows,2025-03-29,231.42,0.7013,否,4.4
前端开发,入门,官网,Android,2025-03-20,223.56,0.737,否,4.2
前端开发,入门,短视频平台,iOS,2025-03-27,253.82,0.6253,否,
AI 应用,高级,官网,iOS,2025-03-31,309.82,0.3575,是,3.7
AI 应用,入门,短视频平台,Android,2025-03-07,393.58,0.4219,否,3.8
AI 应用,进阶,短视频平台,macOS,2025-03-13,326.34,0.5412,是,3.6
AI 应用,进阶,短视频平台,macOS,2025-03-16,357.67,0.4175,否,3.9
产品设计,进阶,官网,Android,2025-03-16,221.21,0.7156,否,4.4
产品设计,高级,短视频平台,Android,2025-03-11,195.21,0.7834,否,4.6
数据分析,进阶,企业合作,iOS,2025-04-29,250.78,0.7794,否,4.7
数据分析,高级,搜索平台,iOS,2025-04-01,240.28,0.6137,否,4.5
数据分析,入门,学习社群,Android,2025-04-06,266.11,0.876,否,4.8
数据分析,高级,企业合作,Windows,2025-04-29,268.71,0.6036,否,4.1
前端开发,高级,学习社群,iOS,2025-04-24,197.83,0.5146,否,4.0
前端开发,入门,搜索平台,Windows,2025-04-29,224.26,0.6112,否,4.1
前端开发,入门,搜索平台,macOS,2025-04-23,213.04,0.6833,否,4.6
前端开发,入门,搜索平台,macOS,2025-04-26,213.18,0.729,否,4.2
前端开发,进阶,学习社群,Windows,2025-04-26,239.53,0.6429,否,4.1
前端开发,进阶,短视频平台,Windows,2025-04-25,200.72,0.5899,否,4.4
前端开发,进阶,搜索平台,Windows,2025-04-09,257.42,0.6627,否,
商业分析,进阶,学习社群,Windows,2025-04-14,254.85,0.6925,否,4.5
商业分析,高级,企业合作,Android,2025-04-12,307.0,0.6648,否,4.2
商业分析,高级,搜索平台,Windows,2025-04-09,245.06,0.5404,否,4.2
商业分析,进阶,官网,Windows,2025-04-28,241.11,0.6036,否,4.1
商业分析,进阶,官网,Windows,2025-04-21,322.5,0.6354,否,4.1
商业分析,入门,官网,macOS,2025-04-24,245.57,0.7383,否,4.6
AI 应用,进阶,搜索平台,Windows,2025-04-13,368.68,0.547,是,3.8
AI 应用,高级,企业合作,macOS,2025-04-05,375.82,0.4787,否,3.8
AI 应用,高级,官网,macOS,2025-04-23,379.24,0.2962,是,3.5
AI 应用,入门,官网,iOS,2025-04-07,301.14,0.4131,是,3.7
产品设计,进阶,学习社群,Android,2025-04-30,192.09,0.7433,否,4.4
产品设计,进阶,搜索平台,Windows,2025-04-27,199.54,0.6845,否,4.4
数据分析,进阶,搜索平台,Windows,2025-05-21,288.92,0.7828,否,4.8
数据分析,进阶,官网,iOS,2025-05-14,286.28,0.8264,否,4.7
数据分析,入门,官网,Windows,2025-05-31,291.33,0.8662,否,4.8
数据分析,进阶,官网,Windows,2025-05-21,260.46,0.756,否,4.4
前端开发,进阶,官网,Windows,2025-05-19,243.04,0.6469,否,
前端开发,高级,搜索平台,Android,2025-05-24,244.52,0.5587,否,4.1
前端开发,入门,官网,Windows,2025-05-13,200.65,0.6496,否,4.4
前端开发,入门,官网,Android,2025-05-18,242.74,0.6051,否,4.1
前端开发,入门,搜索平台,Windows,2025-05-22,232.7,0.6463,否,4.1
前端开发,进阶,短视频平台,macOS,2025-05-11,203.63,0.5876,否,4.4
前端开发,高级,官网,iOS,2025-05-12,195.79,0.4822,否,4.0
AI 应用,入门,学习社群,Windows,2025-05-21,341.31,0.5474,否,4.0
AI 应用,入门,官网,Android,2025-05-02,329.21,0.4191,否,4.0
AI 应用,进阶,官网,iOS,2025-05-04,290.11,0.4368,否,4.0
AI 应用,进阶,短视频平台,Android,2025-05-29,339.1,0.5614,否,4.1
产品设计,高级,官网,Windows,2025-05-31,226.28,0.6263,否,4.1
产品设计,进阶,搜索平台,Android,2025-05-19,217.87,0.6792,否,4.4
数据分析,入门,短视频平台,Windows,2025-06-30,251.81,0.813,否,4.4
数据分析,进阶,官网,iOS,2025-06-05,280.66,0.661,否,4.1
数据分析,高级,短视频平台,Windows,2025-06-03,263.1,0.63,否,4.1
数据分析,入门,官网,Windows,2025-06-19,215.88,0.7108,否,4.6
前端开发,进阶,官网,Windows,2025-06-14,254.78,0.603,否,
前端开发,进阶,短视频平台,Windows,2025-06-12,191.35,0.7337,否,4.5
前端开发,高级,官网,Android,2025-06-14,243.48,0.6219,否,4.1
前端开发,进阶,企业合作,Windows,2025-06-14,190.75,0.6697,否,4.1
前端开发,进阶,企业合作,Windows,2025-06-06,211.8,0.6612,否,4.2
前端开发,进阶,搜索平台,iOS,2025-06-12,203.96,0.6798,否,4.2
前端开发,进阶,官网,Android,2025-06-20,191.98,0.5439,否,4.2
商业分析,入门,搜索平台,macOS,2025-06-22,275.44,0.7302,否,4.2
商业分析,进阶,学习社群,iOS,2025-06-19,318.07,0.7193,否,4.3
商业分析,高级,搜索平台,Android,2025-06-29,287.31,0.5209,否,4.1
商业分析,高级,搜索平台,macOS,2025-06-16,299.59,0.5182,否,4.2
商业分析,入门,官网,iOS,2025-06-27,279.76,0.7972,否,4.4
商业分析,进阶,企业合作,Windows,2025-06-25,294.83,0.7627,否,4.3
AI 应用,入门,短视频平台,Windows,2025-06-12,322.02,0.515,否,3.9
AI 应用,高级,官网,Windows,2025-06-11,382.53,0.3935,否,3.7
AI 应用,高级,企业合作,Windows,2025-06-12,322.43,0.4006,否,4.1
AI 应用,进阶,学习社群,Windows,2025-06-17,340.73,0.5028,否,3.8
产品设计,进阶,官网,Windows,2025-06-19,227.61,0.6741,否,
产品设计,进阶,学习社群,macOS,2025-06-13,238.33,0.8374,否,4.4
数据分析,进阶,短视频平台,Windows,2025-07-11,238.64,0.6563,否,4.1
数据分析,进阶,短视频平台,macOS,2025-07-27,271.58,0.7045,否,4.6
数据分析,高级,官网,Windows,2025-07-28,271.51,0.7383,否,4.6
数据分析,进阶,学习社群,Android,2025-07-23,243.46,0.7963,否,4.4
数据分析,入门,学习社群,Android,2025-07-07,266.55,0.7988,否,4.4
前端开发,入门,官网,iOS,2025-07-20,226.26,0.6386,否,4.5
前端开发,进阶,官网,Windows,2025-07-23,228.03,0.6816,否,4.4
前端开发,入门,官网,macOS,2025-07-16,194.19,0.7556,否,4.6
前端开发,高级,官网,iOS,2025-07-11,188.04,0.6553,否,4.4
前端开发,入门,官网,Windows,2025-07-18,192.3,0.7033,否,4.4
前端开发,入门,学习社群,iOS,2025-07-13,195.3,0.6756,否,4.2
AI 应用,高级,官网,iOS,2025-07-10,397.15,0.4159,否,3.7
AI 应用,入门,学习社群,macOS,2025-07-08,391.97,0.4474,否,3.8
AI 应用,入门,搜索平台,Windows,2025-07-14,311.62,0.4702,否,4.1
AI 应用,进阶,企业合作,macOS,2025-07-25,393.05,0.4071,是,3.3
产品设计,进阶,学习社群,Android,2025-07-21,210.05,0.7952,否,
产品设计,入门,学习社群,iOS,2025-07-17,198.83,0.7834,否,4.6
数据分析,高级,学习社群,Android,2025-08-28,237.1,0.6679,否,4.5
数据分析,进阶,学习社群,Windows,2025-08-15,239.56,0.8198,否,4.7
数据分析,高级,搜索平台,Android,2025-08-20,290.09,0.7258,否,4.5
数据分析,进阶,搜索平台,Windows,2025-08-11,219.03,0.8028,否,4.8
数据分析,高级,企业合作,macOS,2025-08-31,280.58,0.6252,否,4.1
前端开发,入门,官网,Android,2025-08-13,201.41,0.6576,否,4.5
前端开发,进阶,搜索平台,Android,2025-08-30,228.11,0.7048,否,4.4
前端开发,进阶,搜索平台,Windows,2025-08-20,232.89,0.6117,否,4.3
前端开发,进阶,官网,iOS,2025-08-26,243.41,0.5872,否,4.0
前端开发,入门,搜索平台,Windows,2025-08-19,224.16,0.7294,否,4.3
前端开发,高级,企业合作,iOS,2025-08-22,191.35,0.5468,否,4.3
商业分析,高级,学习社群,iOS,2025-08-21,250.76,0.6502,否,4.1
商业分析,进阶,短视频平台,Android,2025-08-29,320.21,0.6028,否,4.4
商业分析,入门,搜索平台,macOS,2025-08-14,325.11,0.7843,否,4.4
商业分析,进阶,搜索平台,Windows,2025-08-19,299.93,0.7886,否,4.7
商业分析,入门,官网,Windows,2025-08-18,286.91,0.821,否,
商业分析,高级,官网,Android,2025-08-25,291.6,0.534,是,3.7
AI 应用,进阶,官网,Android,2025-08-20,329.56,0.5055,否,4.0
AI 应用,高级,官网,Windows,2025-08-26,300.39,0.41,是,3.7
AI 应用,进阶,学习社群,Android,2025-08-06,324.21,0.4476,否,3.9
AI 应用,进阶,官网,Windows,2025-08-01,390.73,0.4805,否,3.8
产品设计,入门,企业合作,macOS,2025-08-07,178.54,0.7787,否,4.5
产品设计,进阶,短视频平台,macOS,2025-08-04,172.92,0.8567,否,4.8
数据分析,进阶,搜索平台,Android,2025-09-22,239.52,0.7943,否,4.7
数据分析,高级,短视频平台,Windows,2025-09-19,257.3,0.585,否,4.2
数据分析,入门,短视频平台,Android,2025-09-04,284.7,0.7499,否,4.7
数据分析,入门,学习社群,Windows,2025-09-03,223.5,0.8755,否,4.8
数据分析,入门,官网,Windows,2025-09-21,218.17,0.7834,否,4.7
前端开发,进阶,官网,Windows,2025-09-15,240.9,0.6313,否,4.2
前端开发,进阶,官网,Windows,2025-09-30,255.92,0.7113,否,4.6
前端开发,高级,搜索平台,Windows,2025-09-13,230.23,0.481,是,3.8
前端开发,入门,学习社群,macOS,2025-09-09,252.68,0.6519,是,4.1
前端开发,入门,学习社群,Windows,2025-09-09,238.01,0.6128,否,
前端开发,进阶,学习社群,iOS,2025-09-05,193.47,0.5821,否,4.0
AI 应用,进阶,官网,Windows,2025-09-27,363.13,0.5154,否,4.0
AI 应用,进阶,官网,macOS,2025-09-18,297.38,0.4575,是,3.7
AI 应用,入门,短视频平台,Android,2025-09-30,386.21,0.4698,是,3.6
AI 应用,高级,搜索平台,iOS,2025-09-19,297.32,0.3845,否,3.8
产品设计,高级,官网,macOS,2025-09-18,175.08,0.7516,否,4.7
产品设计,入门,搜索平台,Windows,2025-09-04,202.04,0.7326,否,4.3
数据分析,进阶,官网,Windows,2025-10-08,267.05,0.8312,否,4.6
数据分析,入门,官网,Android,2025-10-10,260.13,0.8617,否,4.9
数据分析,入门,搜索平台,Android,2025-10-23,291.95,0.8456,否,4.5
数据分析,进阶,官网,Android,2025-10-17,236.76,0.7946,否,4.6
数据分析,进阶,搜索平台,iOS,2025-10-19,253.9,0.7432,否,4.6
数据分析,进阶,短视频平台,iOS,2025-10-06,237.33,0.7715,否,4.6
前端开发,进阶,短视频平台,iOS,2025-10-30,195.21,0.7386,否,4.6
前端开发,入门,搜索平台,iOS,2025-10-15,237.39,0.6704,否,4.4
前端开发,进阶,学习社群,Android,2025-10-20,239.33,0.5795,否,3.9
前端开发,进阶,官网,Windows,2025-10-05,200.71,0.6235,否,
前端开发,入门,官网,Windows,2025-10-05,199.43,0.6187,否,4.4
商业分析,高级,搜索平台,iOS,2025-10-12,270.5,0.7017,否,4.6
商业分析,高级,搜索平台,Android,2025-10-28,300.69,0.5428,否,4.2
商业分析,进阶,搜索平台,Windows,2025-10-25,291.38,0.7846,否,4.4
商业分析,进阶,官网,Android,2025-10-08,315.35,0.7191,否,4.6
商业分析,进阶,官网,Android,2025-10-21,313.44,0.5921,否,4.3
商业分析,入门,短视频平台,Windows,2025-10-01,297.39,0.7125,否,4.4
AI 应用,进阶,官网,Android,2025-10-02,377.97,0.4127,否,3.7
AI 应用,高级,官网,Windows,2025-10-11,379.13,0.4353,否,4.0
AI 应用,入门,官网,Windows,2025-10-22,358.9,0.5401,否,4.1
AI 应用,入门,搜索平台,Windows,2025-10-04,395.37,0.5262,是,3.8
产品设计,进阶,短视频平台,iOS,2025-10-11,209.81,0.7225,否,4.6
产品设计,高级,搜索平台,iOS,2025-10-27,225.37,0.7296,是,3.9
数据分析,进阶,官网,Android,2025-11-03,283.52,0.6766,否,4.2
数据分析,进阶,短视频平台,iOS,2025-11-13,225.75,0.6617,否,4.2
数据分析,入门,学习社群,macOS,2025-11-03,229.82,0.7392,否,4.3
数据分析,入门,官网,Android,2025-11-13,274.43,0.8083,否,
数据分析,入门,短视频平台,Windows,2025-11-03,240.21,0.7621,否,4.4
数据分析,进阶,官网,Windows,2025-11-18,216.19,0.7779,否,4.7
前端开发,入门,官网,Windows,2025-11-22,221.3,0.6853,是,4.2
前端开发,高级,搜索平台,macOS,2025-11-30,238.54,0.5583,是,4.0
前端开发,进阶,搜索平台,Windows,2025-11-10,252.28,0.5727,否,4.1
前端开发,进阶,官网,iOS,2025-11-24,247.05,0.5676,否,4.0
前端开发,进阶,搜索平台,Android,2025-11-08,221.34,0.7358,否,4.3
AI 应用,高级,短视频平台,Android,2025-11-14,311.09,0.4249,否,3.8
AI 应用,入门,学习社群,Windows,2025-11-26,342.99,0.4918,是,3.9
AI 应用,高级,短视频平台,iOS,2025-11-20,288.31,0.3893,否,3.6
AI 应用,入门,搜索平台,Android,2025-11-08,374.3,0.5187,是,4.0
产品设计,进阶,搜索平台,Android,2025-11-19,220.83,0.7959,否,4.7
产品设计,入门,官网,iOS,2025-11-01,219.48,0.7567,否,4.3
数据分析,入门,学习社群,Windows,2025-12-22,258.0,0.7269,否,4.3
数据分析,入门,学习社群,Android,2025-12-07,296.79,0.811,否,4.8
数据分析,高级,搜索平台,iOS,2025-12-26,258.66,0.6673,否,4.6
数据分析,入门,官网,Windows,2025-12-16,239.6,0.7242,否,
数据分析,进阶,企业合作,Android,2025-12-01,262.88,0.7866,否,4.5
数据分析,入门,短视频平台,Windows,2025-12-25,221.1,0.8325,否,4.8
前端开发,高级,搜索平台,Windows,2025-12-16,250.35,0.5228,否,4.2
前端开发,进阶,搜索平台,Windows,2025-12-15,200.57,0.5739,否,4.1
前端开发,高级,官网,macOS,2025-12-06,249.64,0.6514,否,4.5
前端开发,进阶,搜索平台,macOS,2025-12-08,243.97,0.6202,否,4.2
前端开发,高级,短视频平台,Windows,2025-12-11,258.71,0.5393,否,4.2
商业分析,高级,官网,Android,2025-12-14,328.3,0.5561,否,4.0
商业分析,入门,官网,Windows,2025-12-08,263.24,0.6911,否,4.5
商业分析,高级,官网,Windows,2025-12-13,304.36,0.5719,否,4.1
商业分析,入门,企业合作,Windows,2025-12-26,259.87,0.8065,否,4.3
商业分析,进阶,官网,macOS,2025-12-29,246.93,0.6698,是,4.0
商业分析,进阶,官网,Windows,2025-12-30,276.8,0.7053,否,4.6
AI 应用,进阶,短视频平台,iOS,2025-12-30,351.33,0.4452,否,3.9
AI 应用,进阶,短视频平台,Windows,2025-12-13,302.86,0.4305,否,4.1
AI 应用,进阶,搜索平台,iOS,2025-12-16,362.26,0.5531,否,4.0
AI 应用,进阶,官网,Windows,2025-12-04,344.91,0.489,是,
产品设计,入门,官网,Android,2025-12-06,209.53,0.74,否,4.4
产品设计,入门,短视频平台,Windows,2025-12-25,232.72,0.7571,是,4.0
数据分析,进阶,搜索平台,iOS,2026-01-20,251.03,0.6847,否,4.2
数据分析,入门,官网,macOS,2026-01-19,238.29,0.7415,否,4.7
数据分析,进阶,企业合作,Windows,2026-01-01,261.92,0.7994,否,4.7
数据分析,高级,企业合作,iOS,2026-01-02,241.91,0.7177,否,4.5
数据分析,入门,短视频平台,Windows,2026-01-28,289.17,0.7731,否,4.5
数据分析,入门,学习社群,Windows,2026-01-13,236.18,0.6802,否,4.3
数据分析,高级,短视频平台,iOS,2026-01-14,284.03,0.5854,否,4.3
前端开发,进阶,短视频平台,Android,2026-01-24,227.2,0.7317,否,4.5
前端开发,进阶,官网,iOS,2026-01-27,230.14,0.541,否,4.2
前端开发,入门,官网,Windows,2026-01-26,193.89,0.7244,否,4.3
前端开发,入门,搜索平台,Windows,2026-01-21,256.1,0.6495,否,4.5
AI 应用,入门,官网,Windows,2026-01-13,326.3,0.421,否,4.1
AI 应用,入门,官网,macOS,2026-01-11,353.03,0.5092,否,4.3
AI 应用,进阶,企业合作,macOS,2026-01-14,345.55,0.4519,否,4.0
AI 应用,进阶,搜索平台,Android,2026-01-18,291.55,0.3974,否,
产品设计,进阶,搜索平台,Android,2026-01-28,183.6,0.7313,否,4.7
产品设计,入门,搜索平台,Android,2026-01-15,211.03,0.7953,否,4.5
数据分析,进阶,企业合作,Windows,2026-02-25,222.05,0.7512,否,4.5
数据分析,高级,搜索平台,macOS,2026-02-24,242.48,0.6009,否,4.3
数据分析,高级,搜索平台,Android,2026-02-04,269.92,0.7024,否,4.6
数据分析,进阶,短视频平台,Windows,2026-02-11,224.45,0.6684,否,4.6
数据分析,入门,官网,iOS,2026-02-07,232.23,0.8486,否,4.7
数据分析,入门,企业合作,Windows,2026-02-26,270.87,0.8602,否,4.8
数据分析,高级,学习社群,Windows,2026-02-13,218.52,0.6167,否,4.1
前端开发,入门,官网,iOS,2026-02-23,240.63,0.6065,否,4.1
前端开发,进阶,搜索平台,Android,2026-02-22,229.85,0.6771,否,4.4
前端开发,入门,搜索平台,Android,2026-02-08,201.89,0.6518,否,4.5
前端开发,进阶,官网,Windows,2026-02-23,231.01,0.6874,否,4.1
商业分析,入门,官网,Android,2026-02-22,289.33,0.7283,否,4.5
商业分析,入门,搜索平台,Windows,2026-02-08,237.8,0.7174,否,4.3
商业分析,入门,学习社群,iOS,2026-02-20,299.76,0.6319,否,4.4
商业分析,进阶,搜索平台,Android,2026-02-02,283.92,0.7322,否,
商业分析,进阶,学习社群,Windows,2026-02-13,316.66,0.6113,否,4.1
商业分析,入门,搜索平台,Android,2026-02-23,263.12,0.644,否,4.4
AI 应用,进阶,企业合作,macOS,2026-02-22,319.82,0.533,否,3.9
AI 应用,入门,搜索平台,iOS,2026-02-19,374.19,0.5897,否,4.4
AI 应用,入门,官网,macOS,2026-02-14,343.51,0.5246,是,3.6
AI 应用,进阶,官网,macOS,2026-02-10,381.67,0.5512,是,3.9
产品设计,入门,搜索平台,Windows,2026-02-06,210.79,0.8203,否,4.7
产品设计,高级,搜索平台,iOS,2026-02-17,195.98,0.6942,否,4.4
数据分析,高级,短视频平台,Android,2026-03-23,236.54,0.7335,是,4.3
数据分析,入门,官网,Windows,2026-03-18,276.04,0.8581,否,4.7
数据分析,入门,短视频平台,macOS,2026-03-21,226.43,0.8033,否,4.8
数据分析,高级,搜索平台,iOS,2026-03-24,220.8,0.6776,否,4.2
数据分析,入门,短视频平台,iOS,2026-03-11,260.72,0.8274,是,4.2
数据分析,进阶,企业合作,Windows,2026-03-29,267.39,0.7858,否,4.6
数据分析,入门,短视频平台,Android,2026-03-22,250.74,0.8473,否,4.8
前端开发,入门,官网,Android,2026-03-24,213.06,0.7752,否,4.7
前端开发,进阶,官网,Windows,2026-03-02,212.92,0.6309,是,
前端开发,进阶,搜索平台,Windows,2026-03-04,217.06,0.5573,否,4.1
前端开发,入门,官网,Android,2026-03-18,217.34,0.5817,否,4.0
AI 应用,入门,官网,Windows,2026-03-16,391.4,0.5288,否,4.1
AI 应用,入门,搜索平台,Android,2026-03-17,391.3,0.5798,否,4.0
AI 应用,入门,官网,Windows,2026-03-27,333.33,0.5622,否,4.0
AI 应用,入门,搜索平台,iOS,2026-03-07,382.83,0.5929,否,4.3
产品设计,入门,官网,macOS,2026-03-24,219.19,0.8585,否,4.5
产品设计,高级,官网,Android,2026-03-15,228.39,0.77,否,4.5
数据分析,进阶,搜索平台,macOS,2026-04-12,244.71,0.8113,否,4.6
数据分析,高级,搜索平台,macOS,2026-04-04,283.27,0.5667,否,4.2
数据分析,进阶,官网,Android,2026-04-03,241.81,0.7104,否,4.6
数据分析,进阶,学习社群,Android,2026-04-22,233.83,0.6849,否,4.5
数据分析,进阶,短视频平台,Windows,2026-04-16,215.88,0.6517,否,4.1
数据分析,进阶,官网,iOS,2026-04-12,231.03,0.7341,否,4.3
数据分析,高级,学习社群,Windows,2026-04-01,250.68,0.7229,否,4.3
数据分析,高级,官网,iOS,2026-04-30,269.26,0.5917,否,4.2
前端开发,入门,企业合作,iOS,2026-04-21,232.77,0.6057,否,
前端开发,入门,官网,Windows,2026-04-17,247.28,0.7219,否,4.3
前端开发,入门,短视频平台,Android,2026-04-21,250.18,0.6687,否,4.5
商业分析,高级,学习社群,macOS,2026-04-03,299.88,0.6918,否,4.5
商业分析,进阶,学习社群,Android,2026-04-20,239.59,0.625,否,4.4
商业分析,入门,学习社群,macOS,2026-04-16,240.6,0.7858,否,4.6
商业分析,进阶,搜索平台,iOS,2026-04-13,326.51,0.698,否,4.3
商业分析,入门,搜索平台,Windows,2026-04-17,265.14,0.7831,否,4.6
商业分析,高级,官网,macOS,2026-04-13,247.38,0.6178,否,4.1
AI 应用,进阶,短视频平台,Windows,2026-04-04,309.67,0.4026,否,3.8
AI 应用,高级,官网,iOS,2026-04-08,332.62,0.3408,否,3.6
AI 应用,高级,搜索平台,macOS,2026-04-13,373.39,0.3182,否,3.8
AI 应用,进阶,搜索平台,Windows,2026-04-22,349.72,0.4823,否,4.0
产品设计,入门,官网,iOS,2026-04-06,216.55,0.7923,否,4.7
产品设计,入门,短视频平台,Android,2026-04-20,198.07,0.7572,否,4.5
数据分析,入门,搜索平台,Windows,2026-05-17,230.67,0.7604,否,4.4
数据分析,入门,官网,Android,2026-05-05,254.12,0.8667,否,4.8
数据分析,入门,官网,iOS,2026-05-12,257.26,0.7984,否,
数据分析,进阶,官网,Android,2026-05-19,251.83,0.7861,否,4.6
数据分析,高级,短视频平台,macOS,2026-05-24,227.96,0.7001,否,4.3
数据分析,高级,短视频平台,Windows,2026-05-28,284.83,0.6025,是,3.8
数据分析,入门,官网,Android,2026-05-14,283.54,0.7426,否,4.5
数据分析,进阶,搜索平台,Android,2026-05-06,268.95,0.7868,否,4.6
前端开发,高级,官网,iOS,2026-05-23,212.08,0.5261,否,4.3
前端开发,入门,企业合作,Windows,2026-05-04,201.13,0.6585,否,4.3
前端开发,入门,学习社群,Windows,2026-05-17,231.08,0.5976,否,4.2
AI 应用,高级,企业合作,iOS,2026-05-04,365.6,0.472,是,3.6
AI 应用,进阶,搜索平台,iOS,2026-05-23,372.71,0.3712,否,3.6
AI 应用,入门,官网,macOS,2026-05-23,306.28,0.5069,否,3.8
AI 应用,入门,学习社群,Windows,2026-05-08,326.71,0.4446,否,3.8
产品设计,入门,学习社群,Android,2026-05-08,223.48,0.8703,否,4.7
产品设计,入门,学习社群,Windows,2026-05-09,230.72,0.7306,否,4.5
数据分析,入门,官网,Windows,2026-06-24,245.94,0.753,否,4.7
数据分析,入门,学习社群,Android,2026-06-03,262.05,0.7883,是,4.3
数据分析,入门,短视频平台,macOS,2026-06-15,243.02,0.7967,否,
数据分析,入门,官网,Windows,2026-06-29,215.8,0.7956,否,4.7
数据分析,进阶,学习社群,Windows,2026-06-04,286.23,0.7632,否,4.5
数据分析,进阶,官网,Android,2026-06-12,226.1,0.83,否,4.5
数据分析,高级,官网,Android,2026-06-11,256.73,0.6957,否,4.3
数据分析,进阶,企业合作,macOS,2026-06-11,282.34,0.6645,否,4.5
前端开发,入门,企业合作,Android,2026-06-30,217.4,0.7215,是,4.0
前端开发,入门,学习社群,Windows,2026-06-28,209.13,0.7769,否,4.4
前端开发,高级,官网,macOS,2026-06-20,237.93,0.6542,否,4.4
商业分析,进阶,短视频平台,iOS,2026-06-27,240.66,0.7805,否,4.4
商业分析,高级,官网,Windows,2026-06-20,322.38,0.6331,否,4.4
商业分析,入门,短视频平台,Windows,2026-06-01,281.64,0.764,否,4.4
商业分析,入门,短视频平台,iOS,2026-06-21,312.21,0.7524,否,4.3
商业分析,入门,短视频平台,iOS,2026-06-23,289.01,0.6908,否,4.4
商业分析,入门,搜索平台,iOS,2026-06-06,285.87,0.7924,否,4.7
AI 应用,进阶,搜索平台,macOS,2026-06-10,379.03,0.3729,否,3.9
AI 应用,进阶,搜索平台,Windows,2026-06-04,377.35,0.473,是,3.8
AI 应用,进阶,官网,Windows,2026-06-22,349.87,0.5106,否,
AI 应用,进阶,学习社群,Windows,2026-06-05,391.28,0.5651,否,4.3
